shiftdate,grupo,bono,mes,timestamp_ingesta
2023-02-08T00:00:00.000+0000,G3,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-08T00:00:00.000+0000,G4,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-09T00:00:00.000+0000,G3,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-09T00:00:00.000+0000,G4,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-10T00:00:00.000+0000,G3,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-10T00:00:00.000+0000,G4,0.648,202302,2023-09-06T01:52:37.419+0000
2023-02-11T00:00:00.000+0000,G3,0.617,202302,2023-09-06T01:52:37.419+0000
2023-02-11T00:00:00.000+0000,G4,0.555,202302,2023-09-06T01:52:37.419+0000
2023-02-12T00:00:00.000+0000,G3,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-12T00:00:00.000+0000,G4,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-13T00:00:00.000+0000,G3,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-13T00:00:00.000+0000,G4,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-14T00:00:00.000+0000,G3,0.606,202302,2023-09-06T01:52:37.419+0000
2023-02-14T00:00:00.000+0000,G4,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-15T00:00:00.000+0000,G1,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-15T00:00:00.000+0000,G2,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-16T00:00:00.000+0000,G1,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-16T00:00:00.000+0000,G2,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-17T00:00:00.000+0000,G1,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-17T00:00:00.000+0000,G2,0.586,202302,2023-09-06T01:52:37.419+0000
2023-02-18T00:00:00.000+0000,G1,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-18T00:00:00.000+0000,G2,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-19T00:00:00.000+0000,G1,0.308,202302,2023-09-06T01:52:37.419+0000
2023-02-19T00:00:00.000+0000,G2,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-20T00:00:00.000+0000,G1,0.298,202302,2023-09-06T01:52:37.419+0000
2023-02-20T00:00:00.000+0000,G2,0.627,202302,2023-09-06T01:52:37.419+0000
2023-02-21T00:00:00.000+0000,G1,0.555,202302,2023-09-06T01:52:37.419+0000
2023-02-21T00:00:00.000+0000,G2,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-22T00:00:00.000+0000,G3,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-22T00:00:00.000+0000,G4,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-23T00:00:00.000+0000,G3,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-23T00:00:00.000+0000,G4,0.555,202302,2023-09-06T01:52:37.419+0000
2023-02-24T00:00:00.000+0000,G3,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-24T00:00:00.000+0000,G4,0.37,202302,2023-09-06T01:52:37.419+0000
2023-02-25T00:00:00.000+0000,G3,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-25T00:00:00.000+0000,G4,0.617,202302,2023-09-06T01:52:37.419+0000
2023-02-26T00:00:00.000+0000,G3,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-26T00:00:00.000+0000,G4,0.627,202302,2023-09-06T01:52:37.419+0000
2023-02-27T00:00:00.000+0000,G3,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-27T00:00:00.000+0000,G4,0.658,202302,2023-09-06T01:52:37.419+0000
