grupo,fecha_turno,equipo,shiftdate,hora_exacta,duracion,razon,turno,hora,hos,mes,timestamp_ingesta
G1,08-ENE-2023 A,CF11,2023-01-08T00:00:00.000+0000,23:14:35,2114,Traslado,A,23,2,202301,2023-09-06T01:55:45.239+0000
G1,08-ENE-2023 A,PA05,2023-01-08T00:00:00.000+0000,22:32:43,657,Traslado,A,22,1,202301,2023-09-06T01:55:45.239+0000
G1,08-ENE-2023 A,PA07,2023-01-08T00:00:00.000+0000,22:31:02,792,Traslado,A,22,1,202301,2023-09-06T01:55:45.239+0000
G1,08-ENE-2023 A,PA05,2023-01-08T00:00:00.000+0000,06:07:59,1744,Traslado,A,6,9,202301,2023-09-06T01:55:45.239+0000
G2,09-ENE-2023 B,PA04,2023-01-09T00:00:00.000+0000,11:46:12,614,Traslado,B,11,2,202301,2023-09-06T01:55:45.239+0000
G2,09-ENE-2023 B,CF11,2023-01-09T00:00:00.000+0000,09:53:54,1881,Traslado,B,9,0,202301,2023-09-06T01:55:45.239+0000
G2,10-ENE-2023 B,CF10,2023-01-10T00:00:00.000+0000,09:36:31,872,Traslado,B,9,0,202301,2023-09-06T01:55:45.239+0000
G1,10-ENE-2023 A,PA04,2023-01-10T00:00:00.000+0000,23:21:36,1675,Traslado,A,23,2,202301,2023-09-06T01:55:45.239+0000
G2,10-ENE-2023 B,CF11,2023-01-10T00:00:00.000+0000,11:05:50,1944,Traslado,B,11,2,202301,2023-09-06T01:55:45.239+0000
G2,10-ENE-2023 B,PA05,2023-01-10T00:00:00.000+0000,18:21:38,987,Traslado,B,18,9,202301,2023-09-06T01:55:45.239+0000
G3,11-ENE-2023 A,CF10,2023-01-11T00:00:00.000+0000,21:55:44,3496,Traslado,A,21,0,202301,2023-09-06T01:55:45.239+0000
G4,11-ENE-2023 B,BH12,2023-01-11T00:00:00.000+0000,10:58:24,4637,Traslado,B,10,1,202301,2023-09-06T01:55:45.239+0000
G3,11-ENE-2023 A,BH09,2023-01-11T00:00:00.000+0000,22:09:30,14215,Traslado,A,22,1,202301,2023-09-06T01:55:45.239+0000
